Tue May 10 16:41:20 2022, PID: 11360, Name: devenv.exe, RAM: 579.64
Tue May 10 16:42:11 2022, PID: 11360, Name: devenv.exe, RAM: 575.15
Tue May 10 16:42:12 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:13 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:14 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:15 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:16 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:17 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:18 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:19 2022, PID: 11360, Name: devenv.exe, RAM: 575.16
Tue May 10 16:42:20 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:21 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:22 2022, PID: 11360, Name: devenv.exe, RAM: 575.08
Tue May 10 16:42:23 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:24 2022, PID: 11360, Name: devenv.exe, RAM: 575.11
Tue May 10 16:42:26 2022, PID: 11360, Name: devenv.exe, RAM: 575.11
Tue May 10 16:42:27 2022, PID: 11360, Name: devenv.exe, RAM: 575.11
Tue May 10 16:42:28 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:29 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:30 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:31 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:32 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:33 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:34 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:35 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:36 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:37 2022, PID: 11360, Name: devenv.exe, RAM: 575.09
Tue May 10 16:42:38 2022, PID: 11360, Name: devenv.exe, RAM: 574.99
Tue May 10 16:42:39 2022, PID: 11360, Name: devenv.exe, RAM: 574.99
Tue May 10 16:42:40 2022, PID: 11360, Name: devenv.exe, RAM: 575.00
Tue May 10 16:42:41 2022, PID: 11360, Name: devenv.exe, RAM: 575.02
Tue May 10 16:42:42 2022, PID: 11360, Name: devenv.exe, RAM: 575.06
Tue May 10 16:42:43 2022, PID: 11360, Name: devenv.exe, RAM: 575.01
Tue May 10 16:42:44 2022, PID: 11360, Name: devenv.exe, RAM: 575.01
Tue May 10 16:42:46 2022, PID: 11360, Name: devenv.exe, RAM: 575.01
Tue May 10 16:42:47 2022, PID: 11360, Name: devenv.exe, RAM: 575.01
Tue May 10 16:42:48 2022, PID: 11360, Name: devenv.exe, RAM: 575.01
Tue May 10 16:42:49 2022, PID: 11360, Name: devenv.exe, RAM: 574.70
Tue May 10 16:42:50 2022, PID: 11360, Name: devenv.exe, RAM: 574.70
Tue May 10 16:43:22 2022, PID: 11360, Name: devenv.exe, RAM: 575.41
Tue May 10 16:43:23 2022, PID: 11360, Name: devenv.exe, RAM: 575.43
Tue May 10 16:43:24 2022, PID: 11360, Name: devenv.exe, RAM: 575.43
Tue May 10 16:43:25 2022, PID: 11360, Name: devenv.exe, RAM: 575.43
Tue May 10 16:43:26 2022, PID: 11360, Name: devenv.exe, RAM: 575.43
Tue May 10 16:43:27 2022, PID: 11360, Name: devenv.exe, RAM: 575.43
Tue May 10 16:43:46 2022, PID: 11360, Name: devenv.exe, RAM: 593.79
Tue May 10 16:43:47 2022, PID: 11360, Name: devenv.exe, RAM: 593.72
Tue May 10 16:43:48 2022, PID: 11360, Name: devenv.exe, RAM: 593.73
Tue May 10 16:43:49 2022, PID: 11360, Name: devenv.exe, RAM: 593.73
Tue May 10 16:43:50 2022, PID: 11360, Name: devenv.exe, RAM: 593.73
Tue May 10 16:43:52 2022, PID: 11360, Name: devenv.exe, RAM: 593.81
Tue May 10 16:43:53 2022, PID: 11360, Name: devenv.exe, RAM: 593.81
Tue May 10 16:43:54 2022, PID: 11360, Name: devenv.exe, RAM: 593.81
Tue May 10 16:43:55 2022, PID: 11360, Name: devenv.exe, RAM: 593.81
Tue May 10 16:43:56 2022, PID: 11360, Name: devenv.exe, RAM: 593.81
Tue May 10 16:46:58 2022, PID: 11360, Name: devenv.exe, RAM: 589.65
Tue May 10 16:46:59 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:01 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:02 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:03 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:04 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:05 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:06 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:07 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:08 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:09 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:10 2022, PID: 11360, Name: devenv.exe, RAM: 589.57
Tue May 10 16:47:11 2022, PID: 11360, Name: devenv.exe, RAM: 589.54
Tue May 10 16:47:12 2022, PID: 11360, Name: devenv.exe, RAM: 589.54
Tue May 10 16:47:13 2022, PID: 11360, Name: devenv.exe, RAM: 589.46
Tue May 10 16:47:14 2022, PID: 11360, Name: devenv.exe, RAM: 589.48
Tue May 10 16:47:15 2022, PID: 11360, Name: devenv.exe, RAM: 589.48
Tue May 10 16:47:16 2022, PID: 11360, Name: devenv.exe, RAM: 589.48
Tue May 10 16:47:17 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:18 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:20 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:21 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:22 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:23 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:24 2022, PID: 11360, Name: devenv.exe, RAM: 589.66
Tue May 10 16:47:25 2022, PID: 11360, Name: devenv.exe, RAM: 589.43
Tue May 10 16:47:26 2022, PID: 11360, Name: devenv.exe, RAM: 589.46
Tue May 10 16:47:27 2022, PID: 11360, Name: devenv.exe, RAM: 589.38
Tue May 10 16:47:28 2022, PID: 11360, Name: devenv.exe, RAM: 589.38
Tue May 10 16:47:29 2022, PID: 11360, Name: devenv.exe, RAM: 589.38
Tue May 10 16:47:50 2022, PID: 11360, Name: devenv.exe, RAM: 591.47
Tue May 10 16:48:35 2022, PID: 11360, Name: devenv.exe, RAM: 591.53
Tue May 10 16:48:36 2022, PID: 11360, Name: devenv.exe, RAM: 589.58
Tue May 10 16:48:37 2022, PID: 11360, Name: devenv.exe, RAM: 589.58
Tue May 10 16:48:38 2022, PID: 11360, Name: devenv.exe, RAM: 589.66
Tue May 10 16:48:39 2022, PID: 11360, Name: devenv.exe, RAM: 589.58
Tue May 10 16:48:40 2022, PID: 11360, Name: devenv.exe, RAM: 590.42
Tue May 10 16:48:41 2022, PID: 11360, Name: devenv.exe, RAM: 589.64
Tue May 10 16:48:42 2022, PID: 11360, Name: devenv.exe, RAM: 589.70
Tue May 10 16:48:43 2022, PID: 11360, Name: devenv.exe, RAM: 589.68
Tue May 10 16:48:56 2022, PID: 11360, Name: devenv.exe, RAM: 591.44
Tue May 10 16:49:02 2022, PID: 11360, Name: devenv.exe, RAM: 591.44
Tue May 10 16:49:11 2022, PID: 11360, Name: devenv.exe, RAM: 591.46
Tue May 10 16:49:38 2022, PID: 11360, Name: devenv.exe, RAM: 591.35
Tue May 10 16:50:02 2022, PID: 11360, Name: devenv.exe, RAM: 587.91
Tue May 10 16:50:07 2022, PID: 11360, Name: devenv.exe, RAM: 588.39
Tue May 10 16:50:10 2022, PID: 11360, Name: devenv.exe, RAM: 588.43
Tue May 10 16:50:36 2022, PID: 11360, Name: devenv.exe, RAM: 588.60
Tue May 10 16:50:40 2022, PID: 11360, Name: devenv.exe, RAM: 588.62
Tue May 10 16:50:56 2022, PID: 11360, Name: devenv.exe, RAM: 588.45
Tue May 10 16:50:59 2022, PID: 11360, Name: devenv.exe, RAM: 588.46
Tue May 10 16:51:01 2022, PID: 11360, Name: devenv.exe, RAM: 588.47
Tue May 10 16:51:04 2022, PID: 11360, Name: devenv.exe, RAM: 588.42
Tue May 10 16:51:05 2022, PID: 11360, Name: devenv.exe, RAM: 588.43
Tue May 10 16:56:48 2022, PID: 11360, Name: devenv.exe, RAM: 587.29
Tue May 10 16:56:49 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:50 2022, PID: 11360, Name: devenv.exe, RAM: 587.36
Tue May 10 16:56:51 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:52 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:53 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:54 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:55 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:56 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:57 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:58 2022, PID: 14016, Name: chrome.exe, Disk: 12.84
Tue May 10 16:56:58 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:56:59 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:57:00 2022, PID: 14016, Name: chrome.exe, Disk: 1.41
Tue May 10 16:57:00 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:57:01 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:57:03 2022, PID: 11360, Name: devenv.exe, RAM: 587.25
Tue May 10 16:57:04 2022, PID: 11360, Name: devenv.exe, RAM: 587.14
Tue May 10 16:57:05 2022, PID: 11360, Name: devenv.exe, RAM: 587.15
Tue May 10 16:57:06 2022, PID: 11360, Name: devenv.exe, RAM: 587.15
Tue May 10 16:57:07 2022, PID: 11360, Name: devenv.exe, RAM: 587.15
Tue May 10 16:57:08 2022, PID: 11360, Name: devenv.exe, RAM: 587.13
Tue May 10 16:57:09 2022, PID: 11360, Name: devenv.exe, RAM: 587.13
Tue May 10 16:57:10 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:11 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:12 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:12 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 11.01
Tue May 10 16:57:13 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:14 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:14 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 11.17
Tue May 10 16:57:15 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:15 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 21.96
Tue May 10 16:57:16 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:16 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 22.86
Tue May 10 16:57:17 2022, PID: 11360, Name: devenv.exe, RAM: 587.05
Tue May 10 16:57:17 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 21.74
Tue May 10 16:57:18 2022, PID: 11360, Name: devenv.exe, RAM: 587.08
Tue May 10 16:57:18 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 21.24
Tue May 10 16:57:19 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:19 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 22.94
Tue May 10 16:57:21 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:21 2022, PID: 9464, Name: CPUSTRES64.EXE, CPU: 22.30
Tue May 10 16:57:22 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:23 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:24 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:25 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:26 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:27 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:28 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:29 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:30 2022, PID: 11360, Name: devenv.exe, RAM: 587.09
Tue May 10 16:57:31 2022, PID: 11360, Name: devenv.exe, RAM: 587.19
Tue May 10 17:19:53 2022, PID: 11360, Name: devenv.exe, RAM: 581.70
Tue May 10 17:19:54 2022, PID: 11360, Name: devenv.exe, RAM: 581.67
Tue May 10 17:20:24 2022, PID: 11360, Name: devenv.exe, RAM: 585.09
Tue May 10 17:20:25 2022, PID: 11360, Name: devenv.exe, RAM: 585.02
Tue May 10 17:20:26 2022, PID: 11360, Name: devenv.exe, RAM: 585.02
Tue May 10 17:20:27 2022, PID: 11360, Name: devenv.exe, RAM: 585.02
Tue May 10 17:20:28 2022, PID: 11360, Name: devenv.exe, RAM: 585.02
Tue May 10 17:20:29 2022, PID: 11360, Name: devenv.exe, RAM: 585.03
Tue May 10 17:20:30 2022, PID: 11360, Name: devenv.exe, RAM: 585.04
Tue May 10 17:20:31 2022, PID: 11360, Name: devenv.exe, RAM: 585.04
Tue May 10 17:20:32 2022, PID: 11360, Name: devenv.exe, RAM: 585.11
